province,type_of_dwelling,income,marital_status,age_group,sex,food_expenditure,clothing_expenditure,transportation_expenditure,personal_care_expenditure,recreation_expenditure,tobacco_alcohol_expenditure,miscellaneous_expenditure,total_consumption_expenditure,total_expenditure,weeks_worked
NL,single_detached,61000,married,65-69,1,6000,970,2926,1405,3650,1000,1880,33770,44938,52
NL,single_detached,71000,married,30-34,1,5526,1910,8584,820,4555,1276,146,47067,91281,52
NL,duplex,25000,married,35-39,2,16190,2220,5650,1180,4315,1000,1492,59516,67366,22
NL,duplex,50000,married,45-49,2,5800,2205,38578,1345,3772,620,882,75926,86324,52
NL,duplex,34000,never_married,<25,2,5125,5890,9792,1848,6516,1880,1550,51153,93925,52
NL,semi_detached,56000,never_married,30-34,2,5450,2825,9343,1930,2835,1500,1119,40571,52791,52
NL,single_detached,21000,never_married,30-34,2,3840,840,280,683,2210,100,304,22530,24351,52
NL,apartment,31000,never_married,25-29,1,5290,1280,920,1170,1690,160,282,31624,42254,52
00,single_detached,24000,married,60-64,1,1000,1600,5200,1800,720,0,300,22910,28373,52
NL,semi_detached,33000,other,35-39,2,6400,4090,3071,430,3070,0,320,32816,37581,52
NL,single_detached,23000,never_married,25-29,1,3950,2120,21739,390,9252,950,295,50303,53004,52
NL,semi_detached,15000,never_married,<25,1,2030,140,3870,485,1700,0,155,10965,12187,28
NL,single_detached,36000,married,30-34,1,4600,890,6396,341,2247,2085,219,38683,54713,52
NL,row_house,20000,married,25-29,1,760,1265,2090,1455,2595,1545,462,16399,23559,45
NL,duplex,59000,never_married,30-34,2,5630,750,4720,675,2066,160,370,23870,40203,40
NL,single_detached,40000,married,40-44,1,9300,1770,7714,1634,3380,1350,235,54205,71041,52
NL,row_house,26000,never_married,45-49,2,5200,750,4138,513,2172,1104,580,24391,31499,52
NL,semi_detached,14000,never_married,25-29,1,2000,1300,3314,1325,1180,1920,340,22749,30553,28
NL,single_detached,30000,married,30-34,2,7680,2539,4976,2281,4335,2450,2298,43992,53232,16
NL,apartment,38000,never_married,25-29,1,6800,1768,4270,650,1175,350,70,31757,39789,52
NL,single_detached,36000,never_married,25-29,1,4460,2090,8070,440,1820,0,475,45358,50115,16
NL,single_detached,49000,married,50-54,2,5500,3090,3140,925,2817,5610,1014,39909,61326,52
NL,apartment,44000,never_married,<25,1,2700,2105,5402,1075,1830,150,408,26330,33687,52
00,single_detached,37000,married,45-49,1,7800,3550,7570,1051,4405,4220,874,76818,92413,52
NL,single_detached,32000,married,45-49,1,10830,2185,4836,1076,4130,420,479,39927,58855,52
NL,duplex,21000,married,30-34,2,16920,1855,11370,1340,5405,1598,800,55869,67553,52
NL,single_detached,32000,married,30-34,2,10200,1875,4368,1070,4253,3512,956,47853,60497,52
NL,apartment,52000,other,55-59,2,5130,5247,1962,1152,1057,100,781,29826,50306,52
NL,semi_detached,35000,married,25-29,2,4200,5040,12806,1200,5310,1420,644,44610,63961,32
00,apartment,18000,never_married,<25,2,5880,3542,370,2694,1524,600,120,31425,32537,16
NL,single_detached,69000,other,40-44,2,8180,3714,18105,1394,5780,1780,204,66843,74143,52
NL,single_detached,42000,married,60-64,1,3342,4228,25070,1385,5300,8000,714,67107,92292,25
NL,single_detached,40000,never_married,35-39,2,3000,1650,10609,570,992,0,370,42648,50791,52
NL,row_house,28000,never_married,<25,1,3300,2140,6600,510,4860,1000,480,47880,52412,26
NL,semi_detached,61000,never_married,50-54,2,8280,2710,6316,1540,6210,2520,1841,48762,70249,52
NL,single_detached,36000,married,55-59,1,7250,580,21065,950,840,1200,144,42316,65590,52
NL,duplex,19000,never_married,<25,2,7450,150,50,306,585,0,50,17873,18641,50
NL,single_detached,71000,other,50-54,1,3480,1025,19751,272,2052,1500,454,56646,66395,52
NL,duplex,16000,never_married,45-49,2,2060,1220,1386,450,730,640,57,14793,16923,52
NL,single_detached,25000,married,25-29,2,5800,3160,6207,1325,5085,115,230,41485,61437,18
NL,row_house,36000,married,45-49,2,7840,3230,8280,1560,1200,1120,2150,42789,50187,52
NL,single_detached,80000,other,55-59,1,7400,5000,9270,1720,1975,6600,1750,54175,86997,36
NL,single_detached,30000,married,45-49,1,6000,1865,4640,1970,1260,60,892,23865,46833,52
NL,single_detached,24000,never_married,40-44,1,3600,1640,5442,320,1425,220,400,21001,31556,52
NL,single_detached,50000,married,35-39,1,9000,2725,31199,3070,6390,5090,80,86374,93755,52
NL,single_detached,20000,married,50-54,2,1600,3648,13116,840,660,1500,366,43362,50258,52
NL,single_detached,39000,other,35-39,2,2160,880,4106,1650,4940,2800,660,49102,55276,52
NL,row_house,33000,married,55-59,1,8280,1415,10956,660,1638,5400,905,52109,71135,52
NL,apartment,38000,never_married,25-29,2,3500,1720,3860,1300,3922,350,650,34350,41673,20
NL,apartment,21000,never_married,50-54,2,2840,870,390,256,960,0,290,16468,21631,52
NL,row_house,31000,married,45-49,2,7100,264,4152,240,1255,110,742,34140,40606,52
NL,duplex,27000,never_married,25-29,2,5760,2900,5189,1340,2400,6928,460,36658,48159,52
NL,single_detached,73000,never_married,30-34,2,4160,2050,3880,800,2263,450,594,58268,72116,52
NL,single_detached,84000,married,55-59,1,3500,810,16450,495,2805,640,2104,52732,87117,52
NL,single_detached,35000,other,40-44,1,6360,1760,4569,420,2552,40,480,35675,37943,25
NL,single_detached,35000,other,50-54,2,2075,3695,672,240,634,1000,550,34184,41604,52
NL,single_detached,41000,married,35-39,2,10600,4220,11550,2020,5094,400,1677,69265,85226,52
NL,single_detached,85000,married,40-44,1,12580,7018,15040,3108,6458,1316,1400,77978,99345,52
NL,single_detached,59000,other,50-54,2,4100,2330,11239,605,2468,250,1990,34520,46120,52
NL,single_detached,30000,married,35-39,1,5020,2225,10265,415,2958,1560,2606,44963,49634,52
NL,single_detached,30000,never_married,<25,1,2400,1550,140,160,3210,1250,840,23035,27074,52
NL,single_detached,10000,married,50-54,2,6300,1409,7755,495,1729,530,220,33438,39159,52
NL,single_detached,85000,married,55-59,1,8430,3120,37904,595,1581,805,1250,70572,96796,52
NL,single_detached,72000,married,55-59,1,9500,2250,14072,420,3618,4060,894,64515,93338,52
NL,single_detached,40000,married,50-54,1,9510,2200,7108,560,5580,200,370,43602,55847,52
NL,single_detached,48000,married,40-44,2,5700,2930,30799,2130,5761,810,350,75958,92469,52
NL,single_detached,43000,married,25-29,1,6760,9240,8810,4990,8200,2800,1379,70817,97763,52
NL,single_detached,28000,never_married,55-59,2,6700,1215,8080,1040,1881,1235,433,30950,37309,52
NL,duplex,43000,never_married,45-49,1,3600,1150,7600,620,1890,615,600,33825,45872,52
NL,duplex,12000,married,40-44,2,5520,260,200,220,988,2444,221,22020,21197,52
NL,duplex,37000,married,45-49,2,6500,7000,12384,1550,3105,6600,943,66514,90387,52
NL,duplex,21000,married,25-29,2,5380,4045,5293,1891,876,4500,1680,41094,70384,16
NL,duplex,61000,never_married,35-39,2,6300,3300,4153,1855,2948,150,870,35814,55040,52
NL,row_house,23000,never_married,35-39,1,3640,230,220,574,2676,170,100,26821,30065,52
NL,single_detached,39000,married,35-39,2,10400,2830,14020,1410,3635,5200,725,65545,83384,52
NL,duplex,27000,married,35-39,2,5600,2314,2933,1190,3744,780,120,41979,49590,28
NL,semi_detached,54000,married,40-44,1,5040,1180,610,250,1315,2020,742,30366,47309,52
NL,row_house,38000,married,65-69,1,5300,1060,7630,375,3010,0,160,31070,38162,36
NL,single_detached,21000,other,60-64,2,2700,470,2218,275,400,0,17,19644,23301,18
NL,single_detached,40000,married,40-44,2,13200,9200,3045,2400,4175,1100,935,73243,90027,52
NL,single_detached,48000,married,30-34,1,8360,3020,8465,1720,3371,2680,240,51532,69705,52
NL,single_detached,18000,never_married,45-49,2,16733,3774,12618,1420,3720,5160,1887,83612,95820,52
NL,row_house,29000,other,45-49,2,3900,1621,5720,845,2259,1140,1342,31788,37685,52
NL,single_detached,30000,married,40-44,1,8880,4488,4037,1391,3125,2900,144,44580,58668,52
NL,single_detached,91000,other,45-49,2,11260,390,5870,75,5380,800,952,53691,84812,52
NL,single_detached,47000,married,55-59,1,8930,7550,8864,1790,1235,840,920,41634,74298,52
NL,duplex,28000,never_married,30-34,2,1500,1100,1045,429,1600,6080,604,17417,28193,48
NL,semi_detached,37000,other,45-49,2,1560,2670,3060,960,2685,3050,393,26688,33645,52
NL,single_detached,58000,married,50-54,1,7600,6445,7011,1020,3609,2190,1301,43252,59895,52
NL,single_detached,61000,married,55-59,2,6800,1690,7780,761,3366,6350,1194,42480,87874,52
NL,single_detached,55000,never_married,35-39,1,10600,2870,7321,450,2720,4820,498,55014,76386,52
NL,row_house,48000,married,50-54,1,4150,2335,3380,617,762,180,2687,40150,52569,52
NL,duplex,90000,married,60-64,1,7337,1866,10186,700,1401,400,1474,58052,86363,52
NL,duplex,31000,married,45-49,1,6750,2870,5302,1000,865,425,560,31196,39675,50
NL,duplex,65000,other,35-39,2,3860,4985,2896,2236,3033,150,690,44219,59401,52
NL,single_detached,57000,other,45-49,2,2520,1700,31020,890,5190,0,485,66514,73389,49
NL,single_detached,43000,other,60-64,1,5205,9221,6611,88,595,4411,231,37839,45046,52
NL,single_detached,14000,married,40-44,1,6290,2470,13011,1300,5032,5865,724,54538,59079,32
NL,single_detached,90000,married,35-39,1,4800,2305,21710,1040,7683,300,1205,56879,98007,52
NL,single_detached,53000,married,40-44,1,7850,2980,6510,2415,4090,1400,957,48170,72690,52
NL,single_detached,40000,married,30-34,1,6360,1760,6328,610,3436,250,244,43554,65317,40
NL,single_detached,53000,married,45-49,1,11850,5470,9527,1597,4037,2020,752,50999,78247,44
NL,single_detached,50000,other,40-44,2,10800,2200,35180,1500,5050,2000,640,82866,95077,52
00,single_detached,35000,married,45-49,2,5400,1625,5360,1240,1920,1740,1129,43544,63298,52
NL,single_detached,76000,married,35-39,1,9665,3690,11075,1330,6153,530,624,52962,88108,52
NL,single_detached,47000,married,45-49,1,9300,6900,11052,910,5474,300,2230,74225,93911,28
NL,single_detached,39000,never_married,55-59,2,2700,1455,15020,466,625,500,617,32971,45006,52
NL,single_detached,45000,other,35-39,1,3680,710,11946,322,4105,100,66,37721,51233,52
00,row_house,39000,other,45-49,2,6200,2350,3670,900,522,100,180,27492,32462,24
NL,single_detached,39000,married,45-49,1,13841,3080,9167,1740,4306,1290,144,59071,71938,52
NL,single_detached,48000,married,60-64,1,15120,2780,25240,620,1696,3200,48,73079,87216,26
NL,single_detached,23000,never_married,40-44,2,7900,450,4640,250,1970,0,100,21537,20755,52
NL,single_detached,30000,never_married,30-34,2,10440,2550,8441,1170,5205,70,410,41767,43757,26
NL,single_detached,17000,married,40-44,2,7440,6185,6440,1150,2345,1200,65,39055,91814,20
NL,single_detached,41000,married,60-64,1,6000,2659,19580,1580,2040,300,65,42635,56584,20
NL,single_detached,35000,married,60-64,1,4100,895,3340,380,500,1820,115,15910,49876,40
NL,single_detached,75000,married,50-54,1,6000,3820,4980,1050,1850,1700,600,33610,68124,40
NL,single_detached,13000,other,60-64,2,5120,2060,300,1230,1170,1380,75,17895,21353,40
NL,single_detached,94000,married,50-54,1,6240,3160,7980,1220,550,500,305,26315,84675,48
NL,single_detached,30000,married,45-49,1,7500,460,6537,490,1340,500,576,26313,42813,24
NL,single_detached,32000,married,55-59,1,7200,3360,6752,2160,2060,500,432,30839,40853,52
NL,single_detached,27000,married,60-64,1,8700,3900,9460,930,720,1200,1400,35030,41293,20
NL,single_detached,25000,other,55-59,1,3600,1015,4140,890,820,5000,390,19075,24154,24
NL,single_detached,27000,married,60-64,1,7000,3450,5790,1100,2565,1000,54,30534,37728,25
NL,single_detached,26000,married,55-59,1,5500,3090,8860,1050,2985,3075,170,39836,46273,20
NL,single_detached,26000,other,45-49,1,3000,700,6440,200,2356,500,120,21418,24162,24
NL,single_detached,35000,married,60-64,1,7200,2850,3940,1200,1734,3050,110,31252,44584,20
NL,single_detached,31000,married,35-39,1,5520,2400,5040,1520,1300,6550,410,38257,47985,32
NL,single_detached,25000,married,40-44,1,5800,1850,4420,1180,1127,1200,400,24522,29316,16
NL,single_detached,35000,married,50-54,1,8120,3710,7082,1870,635,300,1192,32489,51630,52
NL,single_detached,35000,other,40-44,2,7400,2500,4240,180,2892,600,133,27992,31781,52
NL,single_detached,19000,married,35-39,2,2000,3120,5240,705,2400,500,160,22480,36161,52
NL,single_detached,35000,married,55-59,1,6840,2780,7900,1010,862,1000,391,31121,42755,52
NL,single_detached,65000,married,35-39,1,9960,3360,11106,1165,2138,470,725,37178,67333,52
NL,single_detached,20000,married,50-54,2,6200,1890,4300,760,1933,2400,65,26755,41035,52
NL,semi_detached,55000,married,40-44,1,8640,9035,8140,1960,5660,1800,480,51375,79668,52
NL,single_detached,23000,married,50-54,1,8000,2430,3840,2650,1470,1300,120,32340,39683,52
NL,single_detached,23000,married,30-34,1,7200,2400,5340,750,1002,600,120,30040,32087,52
NL,single_detached,39000,other,45-49,2,2350,1850,3340,840,706,100,418,19309,33090,32
NL,single_detached,21000,married,55-59,1,6500,2440,5820,700,3050,2000,120,35036,40965,33
NL,single_detached,19000,never_married,40-44,2,5300,1280,2500,610,2130,100,185,21818,25183,20
