province,type_of_dwelling,income,marital_status,age_group,sex,food_expenditure,clothing_expenditure,transportation_expenditure,personal_care_expenditure,recreation_expenditure,tobacco_alcohol_expenditure,miscellaneous_expenditure,total_consumption_expenditure,total_expenditure,weeks_worked
NL,single_detached,68000,never_married,30-34,female,3940,4200,32670,1125,2637,760,851,57695,75801,52
NL,single_detached,48000,never_married,25-29,male,7350,1930,8396,1280,5247,620,740,46271,61511,52
NL,single_detached,30000,married,35-39,male,5150,2340,3456,1350,2610,900,255,28466,43010,52
NL,row_house,30000,never_married,30-34,female,6240,2900,5308,1290,2300,300,240,33029,38586,26
NL,single_detached,35000,married,25-29,female,4480,1300,11576,490,1410,1040,480,49198,71187,52
NL,single_detached,26000,married,25-29,male,10120,3610,4501,1870,1360,20,888,76120,96812,52
NL,single_detached,26000,other,55-59,female,3200,2560,7846,903,2480,2816,1307,37661,46051,39
NL,single_detached,72000,married,55-59,male,10200,2030,7982,1280,6980,3212,680,58537,85446,52
NL,duplex,20000,never_married,25-29,female,2850,595,560,710,1240,105,90,11970,13320,52
NL,single_detached,78000,other,40-44,female,6500,2315,6649,1830,4185,520,784,58871,77883,52
NL,single_detached,46000,married,50-54,female,5400,1665,12601,760,3947,560,2096,37931,65928,52
NL,single_detached,35000,never_married,25-29,male,5180,900,6481,1530,2028,0,55,19970,26926,52
NL,single_detached,50000,other,50-54,male,8100,3050,24900,1140,4680,5230,200,63855,84792,52
NL,single_detached,34000,other,50-54,female,6040,630,2640,720,800,880,492,36752,46330,52
NL,duplex,40000,never_married,<25,female,3800,1250,2550,1330,625,4575,307,23702,27712,52
NL,apartment,53000,never_married,<25,female,2800,2990,5029,1655,5050,1505,1104,34688,48319,52
NL,single_detached,85000,other,50-54,female,8880,8970,8343,1450,5415,300,748,64441,85928,52
NL,single_detached,21000,married,40-44,female,10825,3260,8450,1855,7510,331,1499,73373,99228,48
NL,apartment,50000,never_married,35-39,male,4450,1120,4405,170,4145,0,77,24589,38718,52
NL,apartment,34000,other,40-44,male,9120,2760,9910,766,2920,2500,236,32152,40161,52
NL,apartment,45000,other,50-54,female,4300,1450,8206,565,1178,2560,182,30660,48232,52
NL,apartment,41000,never_married,50-54,female,4440,2290,22450,650,1450,288,312,47712,59347,42
NL,single_detached,32000,married,55-59,female,8400,5899,6440,635,1344,1200,100,42323,65330,52
NL,single_detached,35000,married,45-49,male,9000,3620,10340,1690,3070,2900,260,64010,97759,42
NL,single_detached,68000,married,30-34,male,4800,1360,7282,300,5980,390,1200,47847,80193,52
NL,single_detached,24000,married,25-29,male,3010,1650,4090,404,2027,530,350,28819,40914,22
NL,single_detached,23000,other,35-39,male,6000,58,150,135,1495,369,35,19928,25856,52
NL,single_detached,83000,other,60-64,female,3950,2070,4622,645,2505,3660,363,39992,66920,43
NL,single_detached,45000,married,25-29,female,8740,1350,4751,1900,4032,0,1402,55650,96494,44
NL,single_detached,35000,married,30-34,female,4500,1800,6062,1660,1600,650,743,34505,55567,40
NL,single_detached,33000,other,30-34,female,5340,313,60,920,1231,4685,72,35315,43298,38
masked,single_detached,57000,never_married,<25,male,3300,3000,9478,990,6215,3810,1085,60379,68449,48
NL,single_detached,50000,other,55-59,female,3000,3440,10666,314,899,2220,835,33679,51487,52
NL,duplex,38000,never_married,25-29,female,2350,1570,7371,485,1195,3864,271,27460,34738,52
NL,single_detached,75000,other,55-59,male,7140,2475,4670,1120,4520,4000,455,53383,73467,52
NL,single_detached,76000,never_married,40-44,female,2650,630,4454,1527,1106,120,1370,34371,63307,52
NL,semi_detached,74000,never_married,30-34,male,8150,1570,4578,545,3000,1100,845,41153,60052,52
NL,duplex,21000,married,35-39,male,6700,3001,4826,1950,2030,5280,500,40677,51939,16
NL,single_detached,45000,married,55-59,male,12900,955,8326,2120,2740,1560,676,57737,76388,52
NL,semi_detached,66000,never_married,30-34,female,2200,3790,22616,1410,2155,410,930,62771,89450,52
NL,semi_detached,38000,never_married,25-29,male,4840,1910,2266,930,2671,6980,1797,35809,51857,52
NL,single_detached,23000,married,60-64,male,7570,1860,6420,1155,2807,2568,395,30446,35796,36
NL,single_detached,26000,married,45-49,female,14080,2205,3821,1920,1215,5350,310,50961,69348,35
NL,apartment,15000,married,55-59,female,5800,4180,3296,825,2415,45,340,32836,51214,52
NL,single_detached,69000,married,25-29,male,8850,7790,12695,1550,5470,2800,990,67675,89403,30
NL,single_detached,24000,never_married,<25,female,4420,1900,6590,1367,1780,1980,680,32915,49632,52
NL,single_detached,60000,married,45-49,female,10400,1000,4940,650,1510,1000,45,28379,69577,52
NL,semi_detached,38000,married,40-44,male,8800,3280,21049,1460,1560,9980,1575,66713,90667,52
NL,single_detached,36000,married,40-44,male,5050,2355,555,392,3402,0,120,33223,42835,52
NL,single_detached,60000,never_married,40-44,male,5410,1740,5370,530,6120,1780,185,40703,58232,52
NL,single_detached,30000,married,40-44,female,8000,5520,7640,1640,4210,1960,144,68042,76163,52
NL,single_detached,30000,married,25-29,male,7060,1240,3748,1180,5556,50,437,40682,48438,52
